Week,Ad_Spend,Sales,Consumer_Confidence,Impressions
1,35007.70118692214,70990.40335040184,101.78963416562998,142472.49872039683
2,57289.88267734445,145723.42657782452,85.09341022198191,263359.92255784426
3,39217.17489693299,105655.62936008073,86.66965534306378,320813.22154650575
4,45639.33031823134,122417.36038064853,118.68452412276555,322630.3732792128
5,16494.003780717892,190176.50725907914,104.46021701531191,429688.8727028483
6,13670.045752638087,85771.27898530499,83.91449252013125,524178.956174371
7,16711.88603362018,112766.7333061792,84.58158462013539,377205.9970439759
8,49728.099273388114,170752.776621458,107.15374083724433,206957.97197850837
9,27666.49772107093,74118.578217748,83.99551779898232,396107.0909580389
10,36891.45580814581,87633.7742971783,85.46035539884564,171294.54161294247
11,9084.638746732375,80920.22053122817,98.26373658311987,252156.62113215472
12,37006.607295871974,59045.325884072154,102.93045846296896,141680.3430171315
13,52108.868520575415,203893.3671952729,108.64778595773242,128143.75338341159
14,27093.83282228958,181088.09245087396,90.18233832477874,403363.5330576888
15,13058.392075504213,152791.7622214984,110.54233483688222,516909.9323464693
16,19402.25928486336,188552.97098868544,86.59939626404274,496236.25916661625
17,19464.60161550034,170398.12519019056,89.35410129852909,286302.33738819335
18,28113.441202156402,66799.0116274987,104.9709242217894,246444.33829793302
19,24230.070078651348,184828.94127189415,104.48067211877377,139265.26123162135
20,18213.603495998243,122458.83900433687,114.87444397209887,156002.51115292418
21,34810.29237818938,183273.30499924553,105.21936955020232,223991.88183038632
22,13194.26486046307,182580.26063647517,102.10269125534633,520415.4376232674
23,22891.104500581103,87408.65488273418,87.81703258148582,414985.62159884063
24,24407.995236752733,62500.91846067048,93.1805031697543,209630.11277931387
25,26924.830456033957,89338.48731407353,90.74897453336987,509701.89376274805
26,34533.7858549922,107037.94604731062,92.61608654455361,315509.82282304676
27,16027.280480504913,162451.2019654712,117.87856607448431,524738.0575688868
28,35554.865802153254,182147.751912029,96.95337154251135,353712.61536051286
29,37247.31522746098,54096.93438837871,119.33101162850579,273764.6619835097
30,9752.201832926083,120291.79359172889,109.77239992116576,230193.97942037188
31,34990.06343464194,106738.99177385535,108.23833904538975,266865.82787987177
