week,ad_spend_linear_tv,ad_spend_digital,ad_spend_search,ad_spend_social,ad_spend_programmatic,sales_units_sold,sales,profit_margin,gdp,inflation,consumer_confidence,media_clicks,media_impressions,media_reach,media_engagement,consumer_demographics,consumer_sentiment
1/1/2023,87454.01188,111680.9827,20404.92671,27154.81319,36990.80788,33765.22861,1427382.157,0.140325464,21281.71404,1.536781353,96.18473877,206811.3081,4683391.391,1596538.548,22238.16878,34.13685517,99.21580148
1/8/2023,145071.4306,52436.30062,32864.64411,106825.1152,39649.8409,25235.63427,1053370.459,0.132731189,21352.77397,3.328597613,103.7216949,451451.9945,3466601.258,2313144.151,21912.83464,29.47482236,85.14249577
1/15/2023,123199.3942,66934.46307,63898.70315,96058.31024,65438.88421,48796.57591,1193802.074,0.13285316,21996.73555,1.735502166,89.56257509,418970.4086,4186149.164,1716672.354,10391.87881,51.22102061,20.85105144
1/22/2023,109865.8484,97999.60247,75351.61582,84157.80752,71428.08971,43684.75693,1621206.407,0.262914944,21837.8509,2.653032951,98.77674129,363380.7339,2926089.406,2683558.095,21472.13676,30.99224142,93.05952146
1/29/2023,65601.86404,50591.83489,72156.90076,59761.00028,74368.42828,43533.14819,555024.8043,0.233039444,22829.6918,2.048110441,106.5793324,440232.6916,1469232.756,2751754.66,14846.61014,52.90457274,11.63663979
2/5/2023,65599.45203,36928.19188,37941.54476,39730.01721,74221.36071,28747.72639,878655.4165,0.204613085,21724.7878,2.608356005,98.47589565,446917.6804,1500743.169,1554302.317,21280.82443,36.94953015,81.74497085
2/12/2023,55808.36122,56077.63076,76974.33771,38297.14863,21840.45773,26592.78009,1570024.379,0.171766097,22161.1767,2.802840777,86.98878424,383345.1907,3742261.149,1192069.493,7664.825758,46.70199597,38.06232935
2/19/2023,136617.6146,44509.91585,38979.927,46270.64634,52081.52285,20936.28288,1842810.257,0.275440108,22264.52858,3.159483607,80.73202345,434805.3313,2721223.58,1980875.821,21446.13262,23.82141255,87.79743204
2/26/2023,110111.5012,113672.7887,46031.97585,71684.2665,19316.907,12255.01987,1267516.163,0.178489021,21026.18891,1.912842544,106.1029662,378988.5847,1802098.907,2780908.364,29985.34314,44.95437299,86.80566901
3/5/2023,120807.2578,102730.8342,79719.31241,85740.65343,56214.66617,44588.89505,1298170.228,0.263319888,22327.07474,1.521991657,80.63808233,372056.3087,2966378.187,1026655.473,6205.300972,38.07070715,80.59254001
